"","date","home.team","home.score","away.team","away.score"
"1",17-08-18,"Leganes",1,"Alaves",0
"2",17-08-18,"Valencia",1,"Las Palmas",0
"3",17-08-19,"Celta",2,"Sociedad",3
"4",17-08-19,"Girona",2,"Ath Madrid",2
"5",17-08-19,"Sevilla",1,"Espanol",1
"6",17-08-20,"Ath Bilbao",0,"Getafe",0
"7",17-08-20,"Barcelona",2,"Betis",0
"8",17-08-20,"La Coruna",0,"Real Madrid",3
"9",17-08-21,"Levante",1,"Villarreal",0
"10",17-08-21,"Malaga",0,"Eibar",1
"11",17-08-25,"Betis",2,"Celta",1
"12",17-08-25,"Sociedad",3,"Villarreal",0
"13",17-08-26,"Alaves",0,"Barcelona",2
"14",17-08-26,"Girona",1,"Malaga",0
"15",17-08-26,"Las Palmas",1,"Ath Madrid",5
"16",17-08-26,"Levante",2,"La Coruna",2
"17",17-08-27,"Eibar",0,"Ath Bilbao",1
"18",17-08-27,"Espanol",0,"Leganes",1
"19",17-08-27,"Getafe",0,"Sevilla",1
"20",17-08-27,"Real Madrid",2,"Valencia",2
"21",17-09-08,"Leganes",1,"Getafe",2
"22",17-09-09,"Barcelona",5,"Espanol",0
"23",17-09-09,"Real Madrid",1,"Levante",1
"24",17-09-09,"Sevilla",3,"Eibar",0
"25",17-09-09,"Valencia",0,"Ath Madrid",0
"26",17-09-10,"Ath Bilbao",2,"Girona",0
"27",17-09-10,"Celta",1,"Alaves",0
"28",17-09-10,"La Coruna",2,"Sociedad",4
"29",17-09-10,"Villarreal",3,"Betis",1
"30",17-09-11,"Malaga",1,"Las Palmas",3
"31",17-09-15,"Eibar",1,"Leganes",0
"32",17-09-16,"Ath Madrid",1,"Malaga",0
"33",17-09-16,"Betis",2,"La Coruna",1
"34",17-09-16,"Getafe",1,"Barcelona",2
"35",17-09-16,"Levante",1,"Valencia",1
"36",17-09-17,"Alaves",0,"Villarreal",3
"37",17-09-17,"Girona",0,"Sevilla",1
"38",17-09-17,"Las Palmas",1,"Ath Bilbao",0
"39",17-09-17,"Sociedad",1,"Real Madrid",3
"40",17-09-18,"Espanol",2,"Celta",1
"41",17-09-19,"Barcelona",6,"Eibar",1
"42",17-09-19,"Valencia",5,"Malaga",0
"43",17-09-20,"Ath Bilbao",1,"Ath Madrid",2
"44",17-09-20,"La Coruna",1,"Alaves",0
"45",17-09-20,"Leganes",0,"Girona",0
